㓦划	㓦劃
不食人间烟火	不食人間煙火
不食周粟	不食周粟
不食干腊	不食乾腊
不食烟火	不食煙火
不龟手药	不亀手薬
不龟药	不亀薬
与他一斗	与他一闘
与众不同	与衆不同
与克制	与剋制
与党	与党
与君一席话胜读十年书	与君一席話勝読十年書
与国同休	与国同休
与她一斗	与她一闘
与子同袍	与子同袍
与日同辉	与日同輝
与此同时	与此同時
与民同乐	与民同楽
与民同忧	与民同憂
丑三	丑三
丑丑	醜醜
丑丫头	醜丫頭
丑事	醜事
丑于	醜於
丑人	醜人
丑人多作怪	醜人多作怪
丑侪	醜儕
丑八怪	醜八怪
丑剌剌	醜剌剌
丑剧	醜劇
丑化	醜化
丑史	醜史
丑名	醜名
丑咤	醜吒
丑地	醜地
丑声	醜声
丑声四溢	醜声四溢
丑声远播	醜声遠播
丑头怪脸	醜頭怪臉
丑夷	醜夷
丑女	醜女
丑女人	醜女人
丑女效颦	醜女効顰
丑奴儿	醜奴児
丑妇	醜婦
丑媳	醜媳
丑媳妇	醜媳婦
丑媳妇总得要见公婆	醜媳婦総得要見公婆
丑小鸭	醜小鴨
丑巴怪	醜巴怪
丑年	丑年
丑徒	醜徒
丑态	醜態
丑态毕露	醜態畢露
丑态百出	醜態百出
丑怪	醜怪
丑恶	醜悪
丑日	丑日
丑旦	丑旦
丑时	丑時
丑月	丑月
丑末	醜末
丑杂	醜雑
丑样	醜様
丑死	醜死
丑比	醜比
丑毙了	醜斃了
丑沮	醜沮
丑牛	丑牛
丑生	醜生
丑男	醜男
丑相	醜相
丑类	醜類
丑类恶物	醜類悪物
丑脸	醜臉
丑虏	醜虜
丑行	醜行
丑角	丑角
丑言	醜言
丑诋	醜詆
丑话	醜話
丑语	醜語
丑贼生	醜賊生
丑辞	醜辞
丑辱	醜辱
丑逆	醜逆
丑闻	醜聞
丑闻案	醜聞案
丑陋	醜陋
专业人才	専業人才
专修	専修
专修班	専修班
专修科	専修科
专修科目	専修科目
专利药	専利薬
专利药品	専利薬品
专制	専制
专制主义	専制主義
专制制度	専制制度
专制君主制	専制君主制
专制政体	専制政体
专制政府	専制政府
专制政治	専制政治
专制权	専制権
专制起来	専制起来
专勤制度	専勤制度
专向	専向
专家系统	専家系統
专家评价	専家評価
专干	専幹
专征	専征
专心一志	専心一志
专心致志	専心致志
专才	専才
专摆	専擺
专柜	専櫃
专柜小姐	専櫃小姐
专欲难成	専欲難成
专注	専注
专注力	専注力
专精于	専精於
专美于前	専美於前
专辑里	専輯裏
专鉴	専鑒
专门人才	専門人才
专门术语	専門術語
且于	且於
且听下回分解	且聴下回分解
世上无难事只怕有心人	世上無難事只怕有心人
世仇	世仇
世出世	世出世
世台	世台
世台会	世台会
世彩堂	世綵堂
世彩堂帖	世綵堂帖
世恩录	世恩録
世情看冷暖人面逐高低	世情看冷暖人面逐高低
世所周知	世所周知
世田谷	世田谷
世界大同	世界大同
世界旅游组织	世界旅遊組織
世界杯	世界盃
世界杯室	世界盃室
世界杯赛	世界盃賽
世界纪录	世界紀録
世界范围	世界範囲
世界里	世界裏
世系	世系
世纪钟	世紀鐘
世纪钟表	世紀鐘錶
世胄	世胄
世表	世表
世阿弥	世阿弥
世面	世面
丘克	丘克
丙种	丙種
丙种射线	丙種射線
丙舍	丙舎
业余	業余
业余大学	業余大学
业余教育	業余教育
业余爱好	業余愛好
业余者	業余者
业务范围	業務範囲
业界标准	業界標準
业种	業種
业精于勤	業精於勤
业荒于嬉	業荒於嬉
业馀电台	業余電台
丛台区	叢台区
丛生叶	叢生葉
东丰	東豊
东丰县	東豊県
东丰阁	東豊閣
东京柜	東京櫃
东仓里	東倉里
东伙	東夥
东冲西突	東衝西突
东加里曼丹	東加里曼丹
东北向	東北向
东北面	東北面
东升	東昇
东南向	東南向
东南面	東南面
东厂	東廠
东台	東台
东台市	東台市
东台湾	東台湾
东向	東向
东周	東周
东周时	東周時
东周时代	東周時代
东周时期	東周時期
东周钟	東周鐘
东奔西向	東奔西向
东学党	東学党
东山之志	東山之志
东山里	東山里
东山里站	東山里站
东岳	東岳
东干	東干
东征	東征
东征西怨	東征西怨
东征西讨	東征西討
东扬西荡	東揚西蕩
东折西绕	東折西繞
东挨西撞	東挨西撞
东挪西借	東挪西借
东摇西摆	東揺西擺
东方发白	東方発白
东方汇理	東方匯理
东林党	東林党
东欧集团	東欧集団
东海捞针	東海撈針
东涂西抹	東塗西抹
东涌	東湧
东淨里的砖儿	東浄裏的磚児
东游	東遊
东窗事发	東窗事発
东胜区	東勝区
东胡	東胡
东芝医疗系	東芝医療繫
东荡西除	東蕩西除
东蒙	東蒙
东西向	東西向
东西周	東西周
东讨西征	東討西征
东谷拉瓦	東谷拉瓦
东邻西舍	東鄰西舎
东里	東里
东量西折	東量西折
东面	東面
东飘西荡	東飄西蕩
丝发	糸髪
丝发之功	糸髪之功
丝布	糸布
丝弦	糸絃
丝恩发怨	糸恩髪怨
丝托索	糸托索
丝挂子	糸掛子
丝杆	糸桿
丝杠	糸槓
丝来线去	糸来線去
丝板	糸板
丝瓜布	糸瓜布
丝盘虫	糸盤虫
丝线	糸線
丝织厂	糸織廠
丝绒布	糸絨布
丝虫	糸虫
丝虫病	糸虫病
丢丑	丟醜
丢了	丟了
丢体面	丟体面
丢入爪哇国里	丟入爪哇国裏
丢出	丟出
丢出去	丟出去
丢包术	丟包術
丢在脑后	丟在脳後
丢巧针	丟巧針
丢面子	丟面子
两万	両万
两个	両個
两个中国	両個中国
两个或两个以上	両個或両個以上
两个或更多	両個或更多
两个肩膀扛张嘴	両個肩膀扛張嘴
两人同心	両人同心
两余	両余
两克	両克
两党	両党
两千	両千
两厢情愿	両廂情願
两只	両隻
两只手	両隻手
两只脚赶不上一张嘴	両隻脚趕不上一張嘴
两台	両台
两叶	両葉
两叶掩目	両葉掩目
两合公司	両合公司
两周	両週
两周年	両週年
两回	両回
两回事	両回事
两国关系	両国関係
两天后	両天後
两天晒网	両天曬網
两头三面	両頭三面
两头白面	両頭白面
两娘女	両娘女
两岸关系	両岸関係
两当	両当
两当一	両当一
两当县	両当県
两性关系	両性関係
两情两愿	両情両願
两扎	両紮
两撇胡	両撇鬍
两方面	両方面
两杆	両杆
两杠	両槓
两杯	両杯
两板	両板
两极	両極
两极分化	両極分化
两极化	両極化
两极管	両極管
两极观点	両極観点
两段制	両段制
两点钟	両点鐘
两班制	両班制
两百万	両百万
两百个	両百個
两百多万	両百多万
两相情愿	両相情願
两眼发直	両眼発直
两种	両種
两种人	両種人
两秒钟	両秒鐘
两腿发软	両腿発軟
两虎共斗	両虎共闘
两虎相斗	両虎相闘
两西西里王国	両西西里王国
两院制	両院制
两面	両面
两面三刀	両面三刀
两面不是人	両面不是人
两面不讨好	両面不討好
两面二舌	両面二舌
两面作战	両面作戦
两面倒	両面倒
两面光	両面光
两面刀	両面刀
两面夹攻	両面夾攻
两面性	両面性
两面手法	両面手法
两面派	両面派
两面讨好	両面討好
两面转圜	両面転圜
两面锯	両面鋸
两面顾全	両面顧全
两鼠斗穴	両鼠闘穴
严丝合缝	厳糸合縫
严了眼儿	厳了眼児
严于	厳於
严于律己	厳於律己
严云农	厳云農
严冬	厳冬
严制	厳制
严加防范	厳加防範
严复	厳復
严恶	厳悪
严禁吸烟	厳禁吸煙
严禁烟火	厳禁煙火
严重后果	厳重後果
丧失殆尽	喪失殆尽
丧尸	喪屍
丧尽	喪尽
丧尽天良	喪尽天良
丧志	喪志
丧荡游魂	喪蕩游魂
丧钟	喪鐘
个个	個個
个个称羡	個個称羨
个中	箇中
个中三昧	箇中三昧
个中人	箇中人
个中原因	箇中原因
个中奥妙	箇中奥妙
个中奥秘	箇中奥秘
个中好手	箇中好手
个中强手	箇中強手
个中消息	箇中消息
个中滋味	箇中滋味
个中玄机	箇中玄機
个中理由	箇中理由
个中讯息	箇中訊息
个中资讯	箇中資訊
个中道理	箇中道理
个中高手	箇中高手
个事	個事
个人	個人
个人主义	個人主義
个人伤害	個人傷害
个人储蓄	個人儲蓄
个人利益	個人利益
个人化	個人化
个人单季	個人単季
个人卫生	個人衛生
个人外交	個人外交
个人奖	個人獎
个人崇拜	個人崇拝
个人工作室	個人工作室
个人得失	個人得失
个人性	個人性
个人所得	個人所得
个人所得税	個人所得税
个人护理	個人護理
个人拨接	個人撥接
个人本位	個人本位
个人消费	個人消費
个人用	個人用
个人用户	個人用戸
个人电脑	個人電脳
个人组	個人組
个人网站	個人網站
个人资料	個人資料
个人赛	個人賽
个人隐私	個人隠私
个人风	個人風
个人首页	個人首頁
个位	個位
个位数	個位数
个体	個体
个体发育	個体発育
个体户	個体戸
个体所有	個体所有
个体经济	個体経済
个例	個例
个儿	個児
个别	個別
个别差异	個別差異
个别性	個別性
个别情况	個別情況
个别指导	個別指導
个别教学	個別教学
个别测验	個別測験
个别现象	個別現象
个别生产	個別生産
个别谈话	個別談話
个别辅导	個別輔導
个头	個頭
个头儿	個頭児
个子	個子
个屁阿	個屁阿
个展	個展
个性	個性
个性化	個性化
个性难改	個性難改
个把	個把
个把月	個把月
个数	個数
个旧	箇旧
个旧县	箇旧県
个旧市	箇旧市
个样	個様
个核	個核
个案	個案
个案分析	個案分析
个案研究	個案研究
个案纪录	個案紀録
个股为	個股為
个过客	個過客
个钟	個鐘
个钟表	個鐘錶
中上游	中上游
中下游	中下游
中书舍人	中書舎人
中了暑	中了暑
中了标	中了標
中了毒	中了毒
中于	中於
中云	中雲
中介社团	中介社団
中仑	中崙
中仑站	中崙站
中价位	中価位
中低价位	中低価位
中俄关系	中俄関系
中千世界	中千世界
中华台北	中華台北
中华电视台	中華電視台
中华肝吸虫病	中華肝吸虫病
中华苏维埃共和国	中華蘇維埃共和国
中华革命党	中華革命党
中原板荡	中原板蕩
中原标准时间	中原標準時間
中台	中台
中台医专	中台医専
中台湾	中台湾
中台禅寺	中台禅寺
中台科技大学	中台科技大学
中叶	中葉
中国共产党	中国共産党
中国制	中国製
中国制造	中国製造
中国剩余定理	中国剰余定理
中国医药	中国医薬
中国历史	中国歴史
中国同盟会	中国同盟会
中国国民党	中国国民党
中型钟	中型鐘
中型钟表	中型鐘錶
中型钟表面	中型鐘表面
中型钟面	中型鐘面
中央专制集权	中央専制集権
中央党	中央党
中央党部	中央党部
中央台	中央台
中央广播电台	中央広播電台
中央标准局	中央標準局
中央汇金	中央匯金
中央电视台	中央電視台
中央监控系统	中央監控系統
中央空调系统	中央空調系統
中央面	中央面
中子俘获	中子俘獲
中岳	中岳
中度台风	中度颱風
中彩	中彩
中心汇率	中心匯率
中恶	中悪
中懑之症	中懣之症
中才	中才
中控台	中控台
中控面板	中控面板
中搜	中捜
中文台	中文台
中文系	中文系
中文里	中文裏
中日关系	中日関係
中暗箭	中暗箭
中板	中板
中极	中極
中枢系统	中枢系統
中核	中核
中止症	中止症
中比关系	中比関係
中注模样	中注模様
中涂	中塗
中港台	中港台
中游	中游
中环杯	中環盃
中盘胜	中盤勝
中秋	中秋
中秋佳节	中秋佳節
中秋帖	中秋帖
中秋月饼	中秋月餅
中秋节	中秋節
中程计划	中程計劃
中筋面粉	中筋麺粉
中签	中籤
中美发表	中美発表
中胡	中胡
中草药	中草薬
中药	中薬
中药偏方	中薬偏方
中药学	中薬学
中药店	中薬店
中药房	中薬房
中药材	中薬材
中药铺	中薬舗
中表	中表
中西合并	中西合併
中西合璧	中西合璧
中谷	中谷
中谷有蓷	中谷有蓷
中转柜台	中転櫃檯
中远集团	中遠集団
中远香港集团	中遠香港集団
中间纤维	中間繊維
中风后	中風後
丰上锐下	豊上銳下
丰下	豊下
丰丘明	豊丘明
丰业	豊業
丰乐	豊楽
丰乐亭	豊楽亭
丰产	豊産
丰产田	豊産田
丰亨豫大	豊亨予大
丰仪	丰儀
丰伟	豊偉
丰俭由人	豊倹由人
丰儀	丰儀
丰功	豊功
丰功伟业	豊功偉業
丰功伟绩	豊功偉績
丰功厚利	豊功厚利
丰功大业	豊功大業
丰功懋烈	豊功懋烈
丰功盛烈	豊功盛烈
丰华	豊華
丰南	豊南
丰南区	豊南区
丰厚	豊厚
丰原	豊原
丰原市	豊原市
丰县	豊県
丰取刻与	豊取刻与
丰台	豊台
丰台区	豊台区
丰城	豊城
丰城剑气	豊城剣気
丰城市	豊城市
丰城贯斗	豊城貫斗
丰壤	豊壌
丰奢	豊奢
丰妍	豊妍
丰姿	丰姿
丰姿冶丽	丰姿冶麗
丰姿绰约	丰姿綽約
丰宁	豊寧
丰宁县	豊寧県
丰实	豊実
丰容	丰容
丰容靓饰	豊容靚飾
丰富	豊富
丰富多彩	豊富多彩
丰富性	豊富性
丰川悦司	豊川悦司
丰年	豊年
丰年玉	豊年玉
丰年祭	豊年祭
丰年稔岁	豊年稔歳
丰年节	豊年節
丰年虾	豊年蝦
丰度	丰度
丰悴	豊悴
丰情	丰情
丰收	豊収
丰收年	豊収年
丰本	豊本
丰杀	豊殺
丰标	丰標
丰标不凡	丰標不凡
丰歉	豊歉
丰殖	豊殖
丰水	豊水
丰水期	豊水期
丰沛	豊沛
丰注	豊注
丰泽	豊沢
丰泽区	豊沢区
丰润	豊潤
丰润区	豊潤区
丰渔桥	豊漁橋
丰溪里	豊渓里
丰满	豊満
丰满区	豊満区
丰滨	豊浜
丰滨乡	豊浜郷
丰炽	豊熾
丰熟	豊熟
丰田	豊田
丰登	豊登
丰盈	豊盈
丰盛	豊盛
丰硕	豊碩
丰碑	豊碑
丰神	丰神
丰神俊美	丰神俊美
丰神异彩	豊神異彩
丰神绰约	丰神綽約
丰神飘洒	丰神飄灑
丰稔	豊稔
丰穰	豊穣
丰美	豊美
丰耗	豊耗
丰肌	豊肌
丰胸	豊胸
丰腆	豊腆
丰腴	豊腴
丰臣秀吉	豊臣秀吉
丰若晖	豊若暉
丰若有肌柔若无骨	丰若有肌柔若無骨
丰茂	豊茂
丰茸	丰茸
丰草	豊草
丰蔚	豊蔚
丰衍	豊衍
丰衣足食	豊衣足食
丰裕	豊裕
丰赡	豊贍
丰足	豊足
丰都	豊都
丰都县	豊都県
丰采	丰采
丰镇	豊鎮
丰镇市	豊鎮市
丰镐	豊鎬
丰隆	豊隆
丰韵	丰韻
丰韻	丰韻
丰顺	豊順
丰顺县	豊順県
丰颊	豊頰
丰饶	豊饒
丰饶丰足	豊饒豊足
串亲戚	串親戚
串出来	串出来
串同	串同
串哄	串哄
串游	串游
临别	臨別
临别依依	臨別依依
